Date,Open,High,Low,Close ,Adj Close ,Volume
5-Aug-24,8.97,9.19,7.521,7.87,7.87,"25,288,000"
2-Aug-24,7.47,7.745,6.835,7.01,7.01,"24,362,700"
1-Aug-24,5.9,7,5.65,6.73,6.73,"26,060,900"
31-Jul-24,6.6,6.9,5.78,5.97,5.97,"20,181,300"
30-Jul-24,7.01,8.13,6.96,7.995,7.995,"14,792,800"
29-Jul-24,6.75,7.03,6.42,7.005,7.005,"7,693,300"
26-Jul-24,6.46,6.993,6.43,6.82,6.82,"10,627,200"
25-Jul-24,6.825,7.61,6.4,6.9,6.9,"23,572,600"
24-Jul-24,6.205,6.745,6.14,6.665,6.665,"14,137,300"
23-Jul-24,5.865,5.915,5.68,5.885,5.885,"5,784,900"
22-Jul-24,6.11,6.17,5.725,5.76,5.76,"12,255,800"
19-Jul-24,6.14,6.44,6.02,6.38,6.38,"9,595,800"
18-Jul-24,5.97,6.55,5.93,6.05,6.05,"16,267,300"
17-Jul-24,6.11,6.51,6.05,6.4,6.4,"18,798,100"
16-Jul-24,1:3 Stock Splits,,,,,
16-Jul-24,5.46,5.8,5.415,5.64,5.64,"12,097,300"
15-Jul-24,5.31,5.58,5.22,5.46,5.46,"5,893,267"
12-Jul-24,5.49,5.58,5.16,5.4,5.4,"10,792,200"
11-Jul-24,4.92,5.58,4.89,5.535,5.535,"10,572,467"
10-Jul-24,5.07,5.19,4.98,4.98,4.98,"6,450,833"
9-Jul-24,5.37,5.52,5.07,5.31,5.31,"8,807,600"
8-Jul-24,5.625,5.655,5.31,5.52,5.52,"7,545,000"
5-Jul-24,5.61,5.79,5.49,5.775,5.775,"4,169,233"
3-Jul-24,6.21,6.228,5.55,5.565,5.565,"6,398,133"
2-Jul-24,6.21,6.255,6.03,6.12,6.12,"4,114,967"
1-Jul-24,6.06,6.48,5.895,5.955,5.955,"8,937,767"
28-Jun-24,5.91,6.09,5.61,6.045,6.045,"7,940,500"
27-Jun-24,5.94,6.06,5.745,5.94,5.94,"5,406,033"
26-Jun-24,5.79,6.12,5.58,5.73,5.73,"9,761,700"
25-Jun-24,6.36,6.525,5.76,5.76,5.76,"12,812,533"
24-Jun-24,6.21,6.69,6.06,6.69,6.69,"12,842,333"
21-Jun-24,5.88,6.06,5.52,5.85,5.85,"16,055,433"
20-Jun-24,4.86,5.625,4.77,5.52,5.52,"16,816,533"
18-Jun-24,5.52,5.55,5.1,5.16,5.16,"6,489,367"
17-Jun-24,5.4,5.67,5.31,5.52,5.52,"3,967,100"
14-Jun-24,5.61,5.79,5.37,5.43,5.43,"5,959,000"
13-Jun-24,5.7,5.91,5.64,5.67,5.67,"4,588,367"
12-Jun-24,6.315,6.36,5.91,6.06,6.06,"5,616,800"
11-Jun-24,6.48,6.78,6.36,6.54,6.54,"4,308,967"
10-Jun-24,6.63,6.99,6.33,6.465,6.465,"6,234,733"
7-Jun-24,6.675,6.87,6.48,6.57,6.57,"4,175,000"
6-Jun-24,6.27,6.84,6.069,6.54,6.54,"7,741,300"
5-Jun-24,6.885,6.99,6.39,6.42,6.42,"4,483,567"
4-Jun-24,7.26,7.44,7.11,7.125,7.125,"3,354,833"
3-Jun-24,7.5,7.68,7.29,7.32,7.32,"3,690,133"
31-May-24,7.68,8.475,7.65,8.07,8.07,"5,896,300"
30-May-24,7.425,8.07,7.29,7.965,7.965,"4,333,400"
29-May-24,7.68,7.92,7.32,7.41,7.41,"3,801,500"
28-May-24,8.13,8.22,7.41,7.47,7.47,"4,364,900"
24-May-24,9.12,9.39,8.76,8.76,8.76,"2,392,667"
23-May-24,9.69,9.75,8.67,9.255,9.255,"5,577,767"
22-May-24,11.22,11.736,11.1,11.355,11.355,"2,932,167"
21-May-24,11.67,11.769,11.25,11.25,11.25,"1,132,933"
20-May-24,11.67,11.73,11.28,11.385,11.385,"1,203,767"
17-May-24,11.52,12.135,11.445,11.97,11.97,"1,236,667"
16-May-24,11.385,11.565,11.16,11.49,11.49,"1,403,367"
15-May-24,12.015,12.24,11.37,11.43,11.43,"2,122,833"
14-May-24,12.81,12.99,12.24,12.36,12.36,"1,482,133"
13-May-24,12.555,13.11,12.414,12.57,12.57,"1,832,033"
10-May-24,12.6,12.93,12.27,12.72,12.72,"1,651,267"
9-May-24,12.54,13.2,12.42,13.08,13.08,"1,810,233"
8-May-24,12.81,12.855,12.36,12.6,12.6,"1,541,867"
7-May-24,12.45,12.96,12.24,12.555,12.555,"2,288,200"
6-May-24,12.96,13.02,12.117,12.135,12.135,"1,550,200"
3-May-24,13.44,13.65,12.96,13.11,13.11,"1,963,700"
2-May-24,14.595,15.03,13.95,14.1,14.1,"1,469,933"
1-May-24,14.4,15.66,14.16,15.105,15.105,"4,044,167"
30-Apr-24,13.74,14.01,13.26,13.995,13.995,"1,813,900"
29-Apr-24,13.62,14.34,13.524,13.59,13.59,"1,332,000"
26-Apr-24,15.06,15.21,13.38,13.53,13.53,"1,981,700"
25-Apr-24,17.1,17.34,15.21,15.51,15.51,"2,861,267"
24-Apr-24,15.06,16.89,15.03,16.74,16.74,"1,936,800"
23-Apr-24,16.41,16.596,15.51,15.63,15.63,"1,242,100"
22-Apr-24,17.64,18.45,16.68,16.92,16.92,"1,987,733"
19-Apr-24,16.08,18.75,15.54,18.51,18.51,"2,788,067"
18-Apr-24,15.36,16.23,14.88,15.45,15.45,"1,036,400"
17-Apr-24,14.25,15.66,14.1,15.63,15.63,"1,160,300"
16-Apr-24,14.88,15,14.28,14.55,14.55,"1,175,267"
15-Apr-24,14.01,15.03,13.53,15.03,15.03,"1,202,467"
12-Apr-24,13.86,14.517,13.74,14.295,14.295,"1,237,133"
11-Apr-24,14.64,14.82,13.53,13.59,13.59,"1,229,667"
10-Apr-24,15.96,15.99,14.67,14.805,14.805,"1,645,900"
9-Apr-24,14.67,16.2,14.61,15.405,15.405,"1,490,300"
8-Apr-24,14.28,14.94,14.25,14.805,14.805,"691,633"
5-Apr-24,14.88,15.21,14.355,14.505,14.505,"980,467"
4-Apr-24,13.77,15.27,13.71,15.27,15.27,"1,163,333"
3-Apr-24,14.43,14.43,13.8,14.25,14.25,"646,900"
2-Apr-24,14.43,14.655,13.89,14.1,14.1,"905,133"
1-Apr-24,13.83,14.16,13.26,13.86,13.86,"833,800"
28-Mar-24,13.935,14.16,13.53,13.86,13.86,"885,067"
27-Mar-24,13.05,14.13,12.99,13.83,13.83,"1,478,333"
26-Mar-24,12.3,13.17,12.165,13.17,13.17,"1,304,500"
25-Mar-24,12.78,12.93,12.087,12.525,12.525,"1,375,233"
22-Mar-24,13.68,13.71,12.585,12.75,12.75,"1,246,367"
21-Mar-24,13.29,13.86,13.17,13.56,13.56,"1,803,900"
20-Mar-24,14.07,14.565,13.86,13.89,13.89,"768,100"
19-Mar-24,15.09,15.63,13.83,14.22,14.22,"1,168,900"
18-Mar-24,13.92,14.94,13.194,14.52,14.52,"994,533"
15-Mar-24,15,15.225,14.13,14.685,14.685,"814,700"
14-Mar-24,14.16,15.075,13.845,14.61,14.61,"1,052,900"
13-Mar-24,13.68,14.46,13.59,13.74,13.74,"928,033"
12-Mar-24,14.85,15.54,13.44,13.455,13.455,"1,340,733"
11-Mar-24,15.57,16.23,14.67,15.675,15.675,"2,039,367"
8-Mar-24,12.87,15.375,12.21,15.06,15.06,"2,730,867"
7-Mar-24,14.4,14.58,13.56,13.59,13.59,"694,067"
6-Mar-24,15.18,15.51,14.535,14.88,14.88,"559,867"
5-Mar-24,16.2,16.89,15.9,15.93,15.93,"504,167"
4-Mar-24,16.68,16.8,15.24,16.26,16.26,"526,867"
1-Mar-24,18.48,18.72,17.43,17.46,17.46,"430,967"
29-Feb-24,18.9,19.29,18.465,18.93,18.93,"614,567"
28-Feb-24,19.68,19.86,19.035,19.62,19.62,"710,700"
27-Feb-24,18.81,19.83,18.768,19.08,19.08,"1,327,800"
26-Feb-24,18.72,19.23,18.21,18.87,18.87,"1,200,300"
23-Feb-24,18.12,19.68,17.31,18.99,18.99,"1,364,633"
22-Feb-24,22.14,22.83,19.2,19.2,19.2,"959,100"
21-Feb-24,28.2,29.52,27.453,28.59,28.59,"1,137,500"
20-Feb-24,25.41,28.11,25.38,26.4,26.4,"1,010,067"
16-Feb-24,23.82,24.93,23.613,24.78,24.78,"434,800"
15-Feb-24,24.03,24.96,23.97,24.795,24.795,"232,933"
14-Feb-24,24.42,25.32,23.76,23.97,23.97,"231,567"
13-Feb-24,26.46,26.97,24.33,25.14,25.14,"560,533"
12-Feb-24,24.9,25.83,23.52,25.14,25.14,"377,267"
9-Feb-24,26.49,26.67,25.14,25.17,25.17,"141,367"
8-Feb-24,26.85,27.21,26.34,27.09,27.09,"124,000"
7-Feb-24,28.35,28.77,26.685,26.76,26.76,"136,800"
6-Feb-24,27.24,29.808,27.12,28.293,28.293,"433,633"
5-Feb-24,28.5,29.34,27.39,27.51,27.51,"251,800"
2-Feb-24,32.7,32.82,29.97,30.33,30.33,"44,000"
1-Feb-24,34.65,35.34,33.6,33.75,33.75,"49,700"
31-Jan-24,35.46,36.18,34.71,35.373,35.373,"57,600"
30-Jan-24,33.87,34.5,33.24,34.08,34.08,"65,433"
29-Jan-24,35.82,36.06,34.419,34.419,34.419,"42,300"
26-Jan-24,36.18,36.534,35.34,35.97,35.97,"40,533"
25-Jan-24,34.62,36.15,34.23,35.394,35.394,"15,067"
24-Jan-24,37.35,37.35,33.867,35.55,35.55,"29,333"
23-Jan-24,39,39,37.461,37.461,37.461,"5,533"
22-Jan-24,37.35,38.28,37.02,37.74,37.74,"24,833"
19-Jan-24,40.32,41.04,37.956,37.956,37.956,"42,467"
18-Jan-24,41.34,42.795,40.77,41.508,41.508,"23,433"
17-Jan-24,42.63,44.745,42.63,43.08,43.08,"9,600"
16-Jan-24,44.91,44.91,41.913,42.63,42.63,"41,833"
12-Jan-24,45.687,45.87,44.94,45.243,45.243,"20,433"
11-Jan-24,44.85,47.04,44.343,45.15,45.15,"32,700"
10-Jan-24,47.19,47.19,45.57,45.87,45.87,"12,233"
9-Jan-24,49.47,50.52,45.903,48.069,48.069,"17,633"
8-Jan-24,56.04,56.04,49.827,49.827,49.827,"12,467"
5-Jan-24,58.614,58.62,56.07,57.075,57.075,"3,833"
4-Jan-24,59.76,60.03,58.551,59.697,59.697,"2,233"
3-Jan-24,60.477,61.08,59.31,60.726,60.726,"4,767"
2-Jan-24,56.67,60.423,56.67,59.547,59.547,"4,067"
29-Dec-23,55.44,57.84,55.26,56.229,56.229,"4,733"
28-Dec-23,56.367,56.406,55.35,56.22,56.22,"8,367"
27-Dec-23,56.43,57.09,56.31,56.4,56.4,"3,167"
26-Dec-23,6.5220 Dividend,,,,,
26-Dec-23,56.547,56.691,55.77,56.691,56.691,"7,233"
22-Dec-23,63.243,65.1,63.18,64.128,57.606,"2,933"
21-Dec-23,63.78,64.917,63.774,63.774,57.288,"2,567"
20-Dec-23,62.25,65.91,61.5,65.769,59.0801,"3,033"
19-Dec-23,62.7,63.96,62.34,62.4,56.0537,"1,167"
18-Dec-23,61.863,62.13,60.27,60.864,54.674,"14,133"
15-Dec-23,65.28,65.28,63.15,64.14,57.6168,"2,767"
14-Dec-23,65.76,67.95,65.673,65.883,59.1825,"4,400"
13-Dec-23,65.1,66.648,65.019,66.648,59.8697,"4,067"
